1930,International Information,about-hiv,,"From phylogenetic tracing, researchers have dated that HIV-1 first emerged in colonial west central Africa between 1910 and 1930. The HIV virus is believed to be a mutated virus from chimpanzees."
1959,Political Events,,https://en.wikipedia.org/wiki/History_of_HIV/AIDS#/media/File:HIV-budding-Color.jpg,"The first recorded case of HIV-1 comes from a blood sample taken from a man in Kinshasa, The Democratic Republic of Congo in 1959. Later genetic analysis of this sample suggests that HIV-1 may have mutated from a single virus in the 1940s or 50s."
1978,,,,"Gay men in the US and Sweden, and heterosexuals in Tanzania and Haiti began showing symptoms for what will later be known as AIDS, such as fever and pneumonia."
6/5/1981,International Information,about-hiv,,"The CDC releases a  Morbidity and Mortality Weekly Report (MMWR) which describes the infection of five previously healthy men with a rare lung infection.  Additionally, the CDC reports several instances of Karposi's Sarcoma, a rare form of cancer. This report is the first official report of what would later be known as the AIDS epidemic."
6/5/1981,International Information,,,"The LA Times and the Associated Press report on the CDC's Morbidity and Mortality Weekly Report (MMWR), marking the first press coverage of HIV/AIDS."
5/1/1981,Public Health and Medicine,,,"5 men, all active homosexuals, were treated for Pneumocystis carinii pneumonia at 3 different hospitals in LA. Two patients died; all 5 had cytomegalovirus (CMV) infection and candidal mucosal infection. During the past 30 months, 26 cases of Kaposi Sarcoma have been reported among Gay males. Eight have died, all within 24-months of diagnosis."
1982,Public Health and Medicine,,,"CDC links the new disease to blood. CDC formally establishes the term Acquired Immune Deficiency Syndrome (AIDS); refers to four “identified risk factors” of male homosexuality, intravenous drug abuse, Haitian origin and hemophilia A."
1982,Political Events,,,"First US Congressional hearings held on HIV/AIDS. “GRID” or “gay-related immune deficiency” is increasingly used by the media and health care professionals, mistakenly suggesting inherent link between homosexuality and the syndrome."
1983,Public Health and Medicine,,,"CDC warns blood banks of possible problem with blood supply. Dr. Luc Montagnier in France isolates human immunodeficiency virus (HIV). US Public Health Service issues recommendations for preventing HIV through sexual contact and blood transfusions. CDC clarifies term “high risk group,"" urging it not be used to justify discrimination or unwarranted fear of casual transmission."
1983,International Information,,,"Reports from Europe suggested that two rather separate AIDS epidemics were occurring. In the UK, West Germany and Denmark, the majority of people with AIDS were homosexual, and many had a history of sex with American nationals. However, in France and Belgium AIDS was occurring mainly in people from Central Africa or those with links to the area."
1983,Social Activism,,http://static1.squarespace.com/static/532f9587e4b0ede66abff228/t/53719829e4b05ff1a0830735/1399953450309/,"National Association of People with AIDS (NAPWA), National AIDS Network (NAN) and Federation of AIDS Related Organizations form. AIDS Candlelight Memorial held for the first time."
1984,Public Health and Medicine,,,CDC states that abstention from intravenous drug use and reduction of needle-sharing “should also be effective in preventing transmission of the virus.”
1984,International Information,,,762 cases of AIDS had been reported in Europe. In the UK there had been 108 cases and 46 deaths.
1984,Social Activism,,,"Opus BBS is released, becoming the first mainstream software system to donate 100% of its proceeds to AIDS care/research. AIDS Action Council is formed by small group of AIDS service organizations from across the United States."
1984,Celebrities and AIDS,,https://upload.wikimedia.org/wikipedia/en/a/a5/Ga%C3%ABtan_Dugas.jpg,"Gaetan Dugas, listed in And The Band Played On as “patient zero,” dies."
9/17/1985,Political Events,,,"The Pentagon announces that it will begin testing all new recruits for HIV infection and will reject those who are positive. US President Ronald Reagan mentions the word “AIDS” in public for the first time in response to a reporters questions on September 17, 1985."
1985,Public Health and Medicine,testing,,The FDA approves the first HIV antibody test. Blood products begin to be tested in the US and Japan. The US Public Health Service issues first recommendations for preventing transmission of HIV from mother to child.
1985,International Information,,,"The first International Conference on AIDS is held in Atlanta, GA. At least one HIV/AIDS case has been reported from each region of the world. First HIV case reported in China."
1985,Political Events,,,"The Pentagon announces that it will begin testing all new recruits for HIV infection and will reject those who are positive. US President Ronald Reagan mentions the word “AIDS” in public for the first time in response to a reporters questions on September 17, 1985."
1985,Social Activism,,http://d2npu017ljjude.cloudfront.net/images/poster-178275/w230/222222/4559-2.jpg,"The first AIDS-related play — The Normal Heart, by Larry Kramer — opens in New York. Ryan White, an Indiana teenager with AIDS, is barred from school; goes on to speak publicly against AIDS stigma and discrimination. American Foundation for AIDS Research (amfAR) is founded by Co-Chairs Mathilde Krim and Michael S. Gottlieb, and National Chair Elizabeth Taylor."
1985,Social Activism,,http://newshour-tc.pbs.org/newshour/wp-content/uploads/2016/03/GettyImages-3069544-688x1024.jpg,"Ryan White, an Indiana teenager with AIDS, is barred from school; goes on to speak publicly against AIDS stigma and discrimination."
1985,Social Activism,,http://www.yrgcare.org/wp-content/uploads/2015/11/American-Foundation-for-AIDS-Research-AMFAR.png,"American Foundation for AIDS Research (amfAR) is founded by Co-Chairs Mathilde Krim and Michael S. Gottlieb, and National Chair Elizabeth Taylor."
1985,Celebrities and AIDS,,https://c2.staticflickr.com/6/5209/5344399922_38099fec5f_b.jpg,"Rock Hudson, film star, dies."
1986,Public Health and Medicine,,,US Surgeon General Everett Koop publishes a report on AIDS. It calls for sex education. Institute of Medicine report calls for a national education campaign and creation of National Commission on AIDS.
1986,Public Health and Medicine,,,US Surgeon General Everett Koop publishes a report on AIDS. It calls for sex education.
1986,International Information,,,"2nd International AIDS Conference, Paris, France. First HIV cases reported in Russia and India."
1986,Political Events,,,"President Reagan mentions AIDS in his Message to the Congress on America’s Agenda for the Future on February 6, 1986. Ricky Ray, a nine-year-old hemophiliac with HIV, is barred from Florida school and his family’s home is burned by arsonists in the following year."
1986,Social Activism,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Aids_Quilt.jpg/1280px-Aids_Quilt.jpg,"First panel of the AIDS Memorial Quilt created. Robert Wood Johnson Foundation creates “AIDS Health Services Program”, providing funding to hard hit US cities; program is precursor to Ryan White CARE Act."
1987,Public Health and Medicine,testing,,First antiretroviral drug — Zidovudine or AZT (a nucleoside analog) — approved by US FDA. FDA sanctions first human testing of candidate vaccine against HIV.
1987,International Information,,,"3rd International AIDS Conference, Washington, DC."
1987,Political Events,,,"The US shuts its doors to HIV-infected immigrants and travelers. On April 2nd, President Reagan appeared before the College of Physicians in Philadelphia. Congress adopts Helms Amendment banning use of federal funds for AIDS education materials that “promote or encourage, directly or indirectly, homosexual activities,” often referred to as the “no promo homo” policy."
1987,Political Events,,,"On April 2nd, President Reagan appeared before the College of Physicians in Philadelphia."
1987,Political Events,,,"Congress adopts Helms Amendment banning use of federal funds for AIDS education materials that “promote or encourage, directly or indirectly, homosexual activities,” often referred to as the “no promo homo” policy."
1987,Social Activism,,,ACT UP is founded in New York City in March. 
1987,Social Activism,,https://upload.wikimedia.org/wikipedia/en/7/70/And_the_Band_Played_On_(first_edition).jpg,"And the Band Played On: Politics, People and the AIDS Epidemic, a history of the early years of the epidemic by Randy Shilts, is published."
1987,Social Activism,community-partners,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Aids_Quilt.jpg/1280px-Aids_Quilt.jpg,"The AIDS Memorial Quilt is started in San Francisco, CA. "
1988,Public Health and Medicine,,,The first official needle exchange was started in the US to prevent transmission of HIV through drug use.
1988,International Information,,,"World AIDS Day first declared by World Health Organization (WHO) on December 1. UNAIDS reports that the number of women living with HIV/AIDS in sub-Saharan Africa exceeds that of men. 4th International AIDS Conference, Stockholm, Sweden."
1988,Political Events,,,"The US Health Omnibus Programs Extension (HOPE) Act of 1988 authorizes the use of federal funds for AIDS prevention, education, and testing. US bans discrimination against federal workers with HIV."
1988,Social Activism,community-support,,ACT UP demonstrates at FDA headquarters in protest of slow pace of drug approval process. 
1988,Social Activism,,https://upload.wikimedia.org/wikipedia/commons/4/43/Who_needs_a_virtual_world%3F.jpg,"First comprehensive needle exchange program (NEP) established in North America in Tacoma, WA. New York City creates first government-funded NEP and San Francisco establishes what becomes largest NEP in the nation."
1989,Public Health and Medicine,,,FDA approves pentamidine mist for use against PCP.
1989,International Information,,,"Haiti stops distribution of tainted blood products. 5th International AIDS Conference (“The Scientific and Social Challenge of AIDS”), Montreal, Canada."
1989,Political Events,, ,US Congress creates the National Commission on AIDS.
1989,Social Activism,community-support,,"AIDS activists stage several major protests about AIDS drugs, including at the Golden Gate Bridge, the New York Stock Exchange, and US headquarters of Burroughs Wellcome."
1989,Celebrities and AIDS,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Amanda_Blake_Kitty_Gunsmoke_1966.JPG,"Amanda Blake, TV star — Miss Kitty on Gunsmoke, dies. "
1989,Celebrities and AIDS,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Alvin_Ailey_Ellington_career.jpg/332px-Alvin_Ailey_Ellington_career.jpg,"Alvin Ailey, dancer and choreographer, dies."
1989,Celebrities and AIDS,,https://c2.staticflickr.com/6/5306/5894011279_cc6cd93d9a.jpg," Robert Mapplethorpe, photographer, dies."
1990,International Information,,,"Around 8 million people are living with HIV worldwide, according to estimates made later. Haiti stops distribution of tainted blood products. 5th International AIDS Conference (“The Scientific and Social Challenge of AIDS”), Montreal, Canada."
1990,Political Events,,,"Americans with Disabilities Act of 1990 enacted by the US Congress, prohibiting discrimination against individuals with disabilities, including people living with HIV/AIDS. Ronald Reagan apologizes for his neglect of the epidemic while he was president (US)."
1990,Social Activism,community-support,http://gaycities-featured-images-production.s3.amazonaws.com/events/medsq_fb_10514162_10204652831747017_878640878701346774_o.jpg,"AIDS activists stage several major protests about AIDS drugs during the year. Women, AIDS and Activism, developed by ACT UP’s Women’s Caucus, is published, becoming the first book of its kind. After two years of intense ACT UP protests over the price of its drug, AZT, Burroughs Wellcome lowers AZT’s price by 20%."
1990,Celebrities and AIDS,,https://c1.staticflickr.com/1/408/17769433944_00cbd8807c_b.jpg,"Halston, American fashion designer, dies. "
1990,Celebrities and AIDS,,http://ww3.hdnux.com/photos/35/53/34/7780150/3/920x920.jpg," Ryan White, 18, hemophiliac, AIDS activist, dies"
1990,Celebrities and AIDS,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Keith_Haring_(1986).jpg,"Keith Haring, pop artist, dies."
1991,Public Health and Medicine,,,A third antiretroviral drug didoexycytidine (ddc) was authorized by the FDA for use by patients intolerant of AZT.
